model,h,MAE,RMSE,MAPE%,sMAPE%
random_forest,1,398.1325274725275,470.58982727064165,6.620654094543911,6.705989595701284
random_forest,2,524.8965934065935,597.0941312533871,8.784535528505355,8.866742792868274
random_forest,3,655.1338461538463,724.4860587928821,10.925438396695593,11.095884353259269
random_forest,4,691.0862637362636,784.6232503465968,11.531004799016873,11.698659754405613
random_forest,5,649.1212087912088,790.5447787714855,10.864655314979597,10.991087822475581
random_forest,6,585.2716483516483,728.8707970287885,9.942908024270668,9.966107491418638
seasonal_naive,1,623.5384615384615,749.9015319975734,10.162779136440852,10.923468051181835
seasonal_naive,2,556.8461538461538,705.214370026808,8.966588888731488,9.61181905048838
seasonal_naive,3,578.3846153846154,713.7449986353131,9.27402456024396,9.934000124341779
seasonal_naive,4,533.5384615384615,688.5767931029915,8.517370113429942,9.121970911426908
seasonal_naive,5,507.53846153846155,662.9132673283889,8.09755405204442,8.600188013832707
seasonal_naive,6,469.46153846153845,624.188519353174,7.574451788478438,7.981260442151905
